geocode;UF;name_muni;hierarquia
1721208;TO;Arranjo Populacional de Tocantin�polis/TO - Porto Franco/MA;Centro Sub-Regional B
4306809;RS;Encantado;Centro Sub-Regional B
5005004;MS;Arranjo Populacional de Jardim/MS;Centro Sub-Regional B
4320800;RS;Soledade;Centro Sub-Regional B
5221601;GO;Urua�u;Centro Sub-Regional B
4305207;RS;Arranjo Populacional de Cerro Largo/RS;Centro Sub-Regional B
1100106;RO;Guajar�-Mirim;Centro Sub-Regional B
2908408;BA;Concei��o do Coit�;Centro Sub-Regional B
2706307;AL;Palmeira dos �ndios;Centro Sub-Regional B
2605202;PE;Escada;Centro Sub-Regional B
3121605;MG;Diamantina;Centro Sub-Regional B
1100155;RO;Ouro Preto do Oeste;Centro Sub-Regional B
4111506;PR;Ivaipor�;Centro Sub-Regional B
2614501;PE;Surubim;Centro Sub-Regional B
4113304;PR;Laranjeiras do Sul;Centro Sub-Regional B
4321907;RS;Tr�s Passos;Centro Sub-Regional B
5205406;GO;Arranjo Populacional de Ceres - Rialma/GO;Centro Sub-Regional B
2608909;PE;Limoeiro;Centro Sub-Regional B
1200104;AC;Arranjo Populacional Internacional de Cobija/Bol�via - Brasil�ia/Brasil;Centro Sub-Regional B
2108207;MA;Arranjo Populacional de Pedreiras/MA;Centro Sub-Regional B
2304103;CE;Crate�s;Centro Sub-Regional B
4104501;PR;Capanema;Centro Sub-Regional B
2103208;MA;Chapadinha;Centro Sub-Regional B
2208403;PI;Piripiri;Centro Sub-Regional B
5211800;GO;Jaragu�;Centro Sub-Regional B
2403103;RN;Currais Novos;Centro Sub-Regional B
3135209;MG;Janu�ria;Centro Sub-Regional B
2615300;PE;Timba�ba;Centro Sub-Regional B
2910701;BA;Euclides da Cunha;Centro Sub-Regional B
2302602;CE;Camocim;Centro Sub-Regional B
3128006;MG;Guanh�es;Centro Sub-Regional B
4109708;PR;Ibaiti;Centro Sub-Regional B
3115508;MG;Arranjo Populacional de Caxambu - Baependi/MG;Centro Sub-Regional B
2306306;CE;Itapaj�;Centro Sub-Regional B
2202208;PI;Campo Maior;Centro Sub-Regional B
2708006;AL;Santana do Ipanema;Centro Sub-Regional B
2109106;MA;Presidente Dutra;Centro Sub-Regional B
